store,product,unit,price,date
⁠GIPERMIX.RU,Олейна Масло подсолнечное Классическое 1 л,1 л,112,2026-02-25
⁠OZON,"Масло подсолнечное Олейна, рафинированное, 1 л",1 л,155,2026-02-25
⁠О’КЕЙ,"Бзмж Масло сладкосливочное Брест-Литовск 82,5% 180г",180г,200,2026-02-25
⁠OZON,Масло сладко-сливочное Брест-Литовск 82.5% 180г,180г,220,2026-02-25
"⁠Гипермаркет Лента⁠Официальный магазин бренда «Лента, Лента Fresh, HomeClub». Права на товарный знак подтверждены в Яндекс Товарах.⁠Официальный магазин","Масло сливочное брест-литовск 82,5%, без змж, 180г",180г,189,2026-02-25
⁠Доставка DIXY,"Масло Брест-Литовск сливочное 82,5% 180г",180г,220,2026-02-25
⁠av.ru,"Масло сливочное 82,5%, «Брест-Литовск», 180 г, Беларусь, бзмж",180 г,182,2026-02-25
⁠Мегамаркет,"Сладкосливочное масло Брест-Литовск 82,5% бзмж 180 г",180 г,190,2026-02-25
⁠online.metro-cc.ru,"Масло сливочное Брест-Литовск 82.5%, 180г",180г,249,2026-02-25
⁠myspar.ru,"Масло Сладко-Сливочное Брест-Литовск 82,5% 180г",180г,200,2026-02-25
⁠kuper.ru,"Сладкосливочное масло несоленое Брест-Литовск 82,5% 180 г",180 г,200,2026-02-25
⁠Гипермаркет «Глобус» ИМ,"Масло сливочное Брест-Литовск 82,5%, 180г",180г,239,2026-02-25
⁠5ka.ru,Масло сладкосливочное Брест-Литовск 82.5% бзмж 180г,180г,195,2026-02-25
⁠apeti.ru,"Масло сладко-сливочное несоленое Брест-Литовск 82,5% 180 г бзмж",180 г,255,2026-02-25
⁠bliznetsy24.ru,"Масло Брест-Литовск сладко-сливочное несоленое 82,5%, 180 г",180 г,230,2026-02-25
⁠igooods.ru,"Масло сладко-сливочное несоленое 82,5% ТМ Брест-Литовск",,190,2026-02-25
⁠OZON,"Филе грудки куриное малое 550 г, Петелинка, охлажденное",550 г,195,2026-02-25
⁠kuper.ru,Филе грудки цыпленка Петелинка охлажденное ~800 г,800 г,280,2026-02-25
⁠online.metro-cc.ru,"Филе грудки цыпленка-бройлера Петелинка без кожи охлажденное, ~800г",800г,316,2026-02-25
⁠5ka.ru,Филе грудки цыплёнка Петелинка охлаждённое,,540,2026-02-25
⁠igooods.ru,Филе грудки цыплёнка - бройлера охлаждённое ТМ Петелинка,,377,2026-02-25
⁠Мегамаркет,"Филе грудки цыплёнка-бройлера Петелинка малое, охлаждённое, 550 г",550 г,281,2026-02-25
⁠Перекресток,"Филе цыплёнка Петелинка Без кожи охлаждённое, 750г",750г,450,2026-02-25
⁠Гипермаркет «Глобус» ИМ,"Филе грудки цыпленка-бройлера охлажденное Петелинка малое, 550г",550г,367,2026-02-25
⁠Впрок,Филе грудки Петелинка из мяса цыплят-бройлеров 0.6-0.9кг,9кг,429,2026-02-25
⁠АШАН,"Филе цыпленка-бройлера Петелинка малое, охлажденное, 550 г",550 г,370,2026-02-25
⁠О’КЕЙ,"Грудка цыпленка Петелинка без кожи, кг",,482,2026-02-25
⁠Доставка DIXY,Филе цыплёнка-бройлера Петелинка без кожи  в упаковке,,380,2026-02-25
⁠lavka.yandex.ru,Филе грудки цыплёнка-бройлера «Петелинка»,,364,2026-02-25
⁠av.ru,"Филе грудки цыплёнка-бройлера охлаждённое, «Петелинка», Россия",,517,2026-02-25
⁠Wildberries,Чай Гринфилд листовой Golden Ceylon 100 грамм,100 г,212,2026-02-25
⁠О’КЕЙ,Чай черный Greenfield Golden Ceylon 100г,100г,150,2026-02-25
⁠Гипермаркет «Глобус» ИМ,"Чай чёрный Greenfield Golden Ceylon, 100г",100г,149,2026-02-25
⁠OZON,"Чай в пакетиках чёрный Greenfield Golden Ceylon, 100 шт",100 шт,325,2026-02-25
⁠mdkprod.ru,Чай Greenfield Golden Ceylon  Чёрный   100г,100г,142,2026-02-25
⁠АШАН,"Чай черный Greenfield Golden Ceylon листовой, 100 г",100 г,165,2026-02-25
⁠teacofee.ru,Чай Greenfield Golden Ceylon 100 гр.,100 г,138,2026-02-25
⁠Комус,Чай Greenfield Golden Ceylon,,359,2026-02-25
⁠аврора-канц.рф,"Чай GREENFIELD  Гринфилд  ""Golden Ceylon"" черный листовой 100г, 0351",100г,139,2026-02-25
⁠Магнит Маркет,"Чай в пакетиках черный Greenfield Golden Ceylon, 100 пакетиков х 2 г",2 г,368,2026-02-25
⁠alenka.ru,"Чай Greenfield Golden Ceylon черный листовой, 100 гр.",100 г,181,2026-02-25
mnogo-riba.ru,"Картофель белый, 1 кг",1 кг,75,2026-02-25
Деликатеска,"Картофель белый Краснодарский край ~2,5кг",5кг,59,2026-02-25
Впрок,Картофель белый мытый 1кг,1кг,61,2026-02-25
Афлора,Картофель белый «Гала» деревенский / 1 кг,1 кг,115,2026-02-25
OZON,"Картофель белый, 2,5 кг",5 кг,86,2026-02-25
fermazapoved.ru,Картофель белый,,90,2026-02-25
kuper.ru,Картофель белый,,18,2026-02-25
АШАН,"Картофель белый, вес",,40,2026-02-25
Афлора,Картофель белый «Гала» деревенский / 30 кг,30 кг,3 450,2026-02-25
Мегамаркет,Картофель белый мытый +-1 кг,1 кг,80,2026-02-25
igooods.ru,Картофель белый,,132,2026-02-25
svoe-rodnoe.ru,Картофель белый,,130,2026-02-25
svoe-rodnoe.ru,Картофель Белый,,35,2026-02-25
svoe-rodnoe.ru,Картофель Белый,,65,2026-02-25
kuper.ru,Картофель белый ~1 кг,1 кг,32,2026-02-25
av.ru,Картофель белый в крафтовом пакете 3кг,3кг,348,2026-02-25
fruitsparadise.ru,Картофель белый Гала,,145,2026-02-25
OZON,"Картофель белый 1,5 кг, Азербайджан",5 кг,105,2026-02-25
OZON,Картофель белый 1 кг,1 кг,150,2026-02-25
Мегамаркет,Картофель белый мытый,,38,2026-02-25
coolclever.ru,Картофель,,4,2026-02-25
Wildberries,"Картофель белый Жуковский ранний клубни на посадку 0,5 кг",5 кг,243,2026-02-25
Wildberries,"Картофель белый Вега на посадку 0,5 кг",5 кг,242,2026-02-25
Мегамаркет,Картофель белый мытый,,75,2026-02-25
Wildberries,"Картофель белый Вега клубни на посадку 0,5 кг",5 кг,243,2026-02-25
Wildberries,"Картофель белый Невский на посадку 0,5 кг",5 кг,242,2026-02-25
Яндекс Маркет,"Картофель белый Невский 0,5 кг на посадку",5 кг,494,2026-02-25
Wildberries,"Картофель белый Невский клубни на посадку 0,5 кг",5 кг,243,2026-02-25
myspar.ru,Картофель We Love Fresh Беби 2кг,2кг,170,2026-02-25
Wildberries,"Картофель белый Жуковский ранний на посадку 0,5 кг",5 кг,242,2026-02-25
Яндекс Маркет,"Картофель белый Инара 0,5 кг на посадку",5 кг,494,2026-02-25
kuper.ru,Картофель белый мытый,,35,2026-02-25
kuper.ru,Картофель белый молодой,,43,2026-02-25
Wildberries,Картофель  белый  Вега на посадку 500 г,500 г,243,2026-02-25
Wildberries,"Картофель белый Императрица на посадку 0,5 кг",5 кг,234,2026-02-25
OZON,Картофель  белый  Невский,,246,2026-02-25
Wildberries,Картофель  белый  Невский на посадку 500 г,500 г,243,2026-02-25
Wildberries,Картофель  белый  Аннушка на посадку 500 г,500 г,243,2026-02-25
OZON,"Картофель  белый  Вега 0,5кг",5кг,246,2026-02-25
Wildberries,"Картофель белый Аннушка на посадку 0,5 кг",5 кг,242,2026-02-25
apeti.ru,Лук репчатый,,47,2026-02-25
freshlavka.ru,Лук репчатый,,39,2026-02-25
m2-shop.ru,Лук репчатый,,8,2026-02-25
Деликатеска,Лук репчатый Россия ~1кг,1кг,60,2026-02-25
FruitOnline,Лук репчатый 1кг,1кг,56,2026-02-25
abri-kos.ru,Лук репчатый,,48,2026-02-25
sadurala.com⁠Официальный магазин бренда «Сады Урала». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук репчатый «Классика»,,4,2026-02-25
Сима-ленд,"Семена Лук репчатый «Эксибишен», 0.2 г, «Аэлита»",2 г,12,2026-02-25
fileshki.ru,Лук репчатый - 1 кг,1 кг,87,2026-02-25
semena-zakaz.ru,Лук репчатый Мячковский 300,,16,2026-02-25
m2-shop.ru,Лук репчатый фермерский,,15,2026-02-25
ПОРЯДОК.РУ,"Семена Лук репчатый, Классика, 1 г, цветная упаковка, Поиск",1 г,24,2026-02-25
Мегамаркет,Лук репчатый Узбекистан,,8,2026-02-25
av.ru,Лук репчатый,,68,2026-02-25
О’КЕЙ,"Лук репчатый, кг",,38,2026-02-25
Мегамаркет,Лук репчатый,,21,2026-02-25
О’КЕЙ,Лук репчатый Деревенский 1кг,1кг,126,2026-02-25
Впрок,Лук репчатый 1кг,1кг,44,2026-02-25
yarcheplus.ru,Лук репчатый желтый,,26,2026-02-25
organicmarket.ru,Лук репчатый,,120,2026-02-25
Мегамаркет,Лук репчатый,,17,2026-02-25
treeseed.ru,"Лук репчатый Штутгартер Ризен, среднего срока созревания, морозостойкий, устойчив к наиболее распространенным заболеваниям",,70,2026-02-25
Летто,"Лук репчатый Ялтинский красный, семена Сибирский сад 60шт",60шт,24,2026-02-25
Русские Семена⁠Официальный магазин бренда «Русские Семена». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук репчатый Классика  1 гр.,1 г,10,2026-02-25
apeti.ru,"Лук репчатый очищенный, вакуумная упаковка",,70,2026-02-25
online.metro-cc.ru,Лук репчатый,,38,2026-02-25
Мегамаркет,Лук репчатый,,22,2026-02-25
semena-zakaz.ru,Лук репчатый Одинцовец,,12,2026-02-25
lavka.yandex.ru,Лук репчатый,,55,2026-02-25
kuper.ru,Лук репчатый,,16,2026-02-25
OZON,"Лук репчатый молодой, Узбекистан, 500 г",500 г,29,2026-02-25
semena-zakaz.ru,Лук репчатый Стригуновский местный,,16,2026-02-25
abri-kos.ru,Лук репчатый шалот свежий,,192,2026-02-25
Русские Семена⁠Официальный магазин бренда «Русские Семена». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук репчатый Форвард  1 гр.,1 г,10,2026-02-25
5ka.ru,Лук репчатый,,42,2026-02-25
Сады России,Лук репчатый Глобо,,87,2026-02-25
Русские Семена⁠Официальный магазин бренда «Русские Семена». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук Супра  репчатый  1 гр.,1 г,10,2026-02-25
1semena.ru,Лук репчатый Золотничок,,28,2026-02-25
semena-zakaz.ru,Лук репчатый Однолетний сибирский,,16,2026-02-25
Сады России,Лук репчатый Комета,,79,2026-02-25
Сима-ленд,"Семена Лук репчатый красный «Ялтинский красный», 0.2 г, «Сембат»",2 г,11,2026-02-25
1semena.ru,Лук репчатый Баночный консервный,,29,2026-02-25
yarcheplus.ru,Лук репчатый красный,,60,2026-02-25
Перекресток,Лук репчатый,,46,2026-02-25
Яндекс Маркет,Семена Лук репчатый Классика,,268,2026-02-25
semena-zakaz.ru,Лук репчатый Ретро,,30,2026-02-25
OZON,Лук репчатый 1-1.5 кг,5 кг,114,2026-02-25
onlinesemena.ru,Лук репчатый Форвард,,34,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук репчатый,,58,2026-02-25
Русский Огород,"лук репчатый черный принц семена, лук репчатый черный принц семена купить",,27,2026-02-25
svetofornadom.ru,"Лук репчатый свежий, вес.фас, сетка",,1,2026-02-25
fruitsparadise.ru,Лук репчатый,,115,2026-02-25
SEMENA.RU,Лук Семена Алтая Семена Лук репчатый Сибирский Гигант,,52,2026-02-25
samokat.ru,Репчатый лук 1 кг,1 кг,99,2026-02-25
semenagavrish.ru,"Семена Лук репчатый Эксибишен, 0,2г, Гавриш, Ведущие мировые производители, Bejo",2г,110,2026-02-25
sembat.ru,"Лук репчатый Штутгартер Ризен  0,5г",5г,9,2026-02-25
OZON,Лук репчатый 1 кг,1 кг,57,2026-02-25
semena-zakaz.ru,Лук репчатый Супра,,32,2026-02-25
semenagavrish.ru,"Семена Лук репчатый Кармен МС, 0,5г, Гавриш, Овощная коллекция",5г,32,2026-02-25
Wildberries,Лук репчатый Опорто,,85,2026-02-25
semena-zakaz.ru,Лук репчатый Крепыш,,29,2026-02-25
Русские Семена⁠Официальный магазин бренда «Русские Семена». Права на товарный знак подтверждены в Яндекс Товарах.⁠,"Лук репчатый Талисман F1  0,5 гр.",5 г,10,2026-02-25
semena-zakaz.ru,Лук репчатый Экстаз,,42,2026-02-25
Сады России,Лук репчатый Шерман,,109,2026-02-25
semenagavrish.ru,"Семена Лук репчатый Дед, 1,0г, Гавриш, Русский вкус",0г,38,2026-02-25
semena-zakaz.ru,Лук репчатый Брунсвик,,30,2026-02-25
semena-zakaz.ru,Лук репчатый Айлса Грейг,,30,2026-02-25
semena-zakaz.ru,Лук репчатый Штутгартер Ризен,,18,2026-02-25
semenagavrish.ru,"Семена Лук репчатый Богатырская сила, 0,2г, Гавриш, Русский богатырь",2г,49,2026-02-25
Wildberries,Лук репчатый Каратальский,,65,2026-02-25
Wildberries,Семена Лук репчатый Валеро F1,,140,2026-02-25
OZON,"Лук Репчатый Ялтинский, настоящий салатный крымский лук не вызывает слезотечения, изумительно вкусный, 60 семян",,97,2026-02-25
sadurala.com⁠Официальный магазин бренда «Сады Урала». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Лук репчатый «Форвард»,,5,2026-02-25
Мегамаркет,Лук репчатый ВкусВилл +- 600 г,600 г,39,2026-02-25
Wildberries,"Семена Лук репчатый Ялтинский белый 1,0г",0г,165,2026-02-25
Wildberries,"Семена Лук репчатый Эксибишен 0,2 г",2 г,124,2026-02-25
OZON,Лук репчатый Сибирский Гигант,,169,2026-02-25
О’КЕЙ,Морковь кг,,32,2026-02-25
АШАН,"Социальный товар Морковь, вес",,25,2026-02-25
yarcheplus.ru,Морковь,,30,2026-02-25
Мегамаркет,Морковь,,12,2026-02-25
Мегамаркет,Морковь,,13,2026-02-25
kuper.ru,Морковь,,15,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Морковь-мини,,125,2026-02-25
Мегамаркет,Морковь,,20,2026-02-25
Мегамаркет,Морковь,,23,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Морковь,,60,2026-02-25
halalmsk.ru,Желтая морковь,,250,2026-02-25
Мегамаркет,Морковь,,22,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Морковь мытая,,105,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,"Морковь резаная ""Сочная морковь""",,107,2026-02-25
sadovod.net,"Наборы овощей ""Морковь""",,90,2026-02-25
Мегамаркет,Морковь мытая 1 кг,1 кг,80,2026-02-25
semena-zakaz.ru,Морковь Абако F1,,64,2026-02-25
semena-zakaz.ru,Морковь Лосиноостровская 13,,28,2026-02-25
m2-shop.ru,Сок морковный,,380,2026-02-25
Wildberries,Фреш Морковный,,435,2026-02-25
kozalavka.ru,Морковь,,7,2026-02-25
Мегамаркет,Морковь,,13,2026-02-25
5ka.ru,Морковь,,28,2026-02-25
lavka.yandex.ru,Морковь,,62,2026-02-25
Мясницкий Ряд,Капуста белокочанная,,40,2026-02-25
О’КЕЙ,"Капуста белокочанная, кг",,28,2026-02-25
Деликатеска,Капуста Белокочанная ~3кг,3кг,47,2026-02-25
apeti.ru,Капуста белокочанная Слава новый урожай,,147,2026-02-25
АШАН,"Социальный товар Капуста белокочанная, вес",,26,2026-02-25
semena-zakaz.ru,Капуста белокочанная Точка,,12,2026-02-25
delicity.ru,"Капуста Белокочанная, 1 кг",1 кг,65,2026-02-25
abri-kos.ru,Капуста свежая белокочанная,,96,2026-02-25
Магнит Маркет,"Капуста белокочанная ""Урожайная""",,49,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Июньская», ранняя, 0.1 г, «Гавриш»",1 г,6,2026-02-25
lavka.yandex.ru,Капуста белокочанная,,69,2026-02-25
5ka.ru,Капуста белокочанная,,29,2026-02-25
Комус,Капуста белокочанная 1 шт,1 шт,179,2026-02-25
yarcheplus.ru,"Капуста белокочанная поштучно, 1 - 5 кг",5 кг,190,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Капуста белокочанная,,56,2026-02-25
Сады России,Капуста белокочанная Доброводская,,62,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Трансфер F1, 25г, Гавриш, Фермерское подворье",25г,1 167,2026-02-25
yarcheplus.ru,"Капуста белокочанная шинкованная, 250 г",250 г,55,2026-02-25
kuper.ru,Капуста белокочанная ~2 кг,2 кг,34,2026-02-25
online.metro-cc.ru,Капуста белокочанная,,40,2026-02-25
Мегамаркет,Капуста белокочанная +-2 кг,2 кг,48,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,"Капуста белокочанная резаная ""Свежая капуста""",,107,2026-02-25
SEMENA.RU,Капуста Поиск Семена Капуста белокочанная Белорусская 455,,31,2026-02-25
Перекресток,Капуста белокочанная ранняя,,100,2026-02-25
Мегамаркет,Капуста белокочанная ранняя 1 кг,1 кг,66,2026-02-25
Сады России,Капуста белокочанная Снегурочка F1,,113,2026-02-25
5ka.ru,Капуста белокочанная ранняя,,100,2026-02-25
Мегамаркет,Капуста белокочанная 1 кг,1 кг,69,2026-02-25
semena-zakaz.ru,Капуста белокочанная Надежда,,28,2026-02-25
Доставка DIXY,Капуста белокочанная,,28,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Слава 1305 Лидер», среднеспелая, 0.5 г, «Аэлита»",1305 л,12,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Белорусская 455», среднеспелая, 0.5 г, «Аэлита»",5 г,12,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Экспресс» F1, 20 шт., «Аэлита»",20 шт,17,2026-02-25
Мегамаркет,Семена капуста белокочанная Русский огород Золотой гектар 1432 Е01015 1 уп.,,29,2026-02-25
АШАН,"Капуста белокачанная Свежая соломка, 200 г",200 г,90,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Казачок F1, 10шт, Гавриш, Овощная коллекция",10шт,29,2026-02-25
Мегамаркет,Семена капуста белокочанная Поиск Гарант F1 723890 1 уп.,,41,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Бабушкин разносол, 0,5г, Гавриш, Семена от автора",5г,36,2026-02-25
semena-zakaz.ru,Капуста белокочанная Сердце буйвола,,30,2026-02-25
Лемана ПРО,Семена Капуста белокочанная «Гарант» F1,,42,2026-02-25
Лемана ПРО,Семена Капуста белокочанная «Гарант» F1,,42,2026-02-25
сияние.москва,Капуста белокочанная Чудо ультрараннее F1  Уральский Дачник,,41,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Июньская», 0.5 г, скороспелая, «Рецепты дедушки Никиты»",5 г,14,2026-02-25
Доставка DIXY,Капуста белокочанная ранняя,,80,2026-02-25
SEMENA.RU,Капуста Аэлита Семена Капуста белокочанная Мидор F1,,63,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Слава 1305, 0,5г, Гавриш, Овощная коллекция",5г,36,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Килатон F1, 10шт, AgroElita",10шт,82,2026-02-25
SEMENA.RU,Капуста Уральский дачник Семена Капуста белокочанная Чудо на хранение F1,,44,2026-02-25
SEMENA.RU,Капуста Уральский дачник Семена Капуста белокочанная Чудо на засол F1,,39,2026-02-25
Сима-ленд,"Семена Капуста белокочанная «Безразмерная», 0.3 г, «Уральский дачник»",3 г,20,2026-02-25
SEMENA.RU,Капуста Аэлита Семена Капуста белокочанная Валентина F1,,74,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Агрессор F1, 10шт, Ведущие мировые производители, Гавриш",10шт,133,2026-02-25
fruitsparadise.ru,Капуста белокочанная,,145,2026-02-25
semena-zakaz.ru,Капуста белокочанная Московская поздняя 15,,28,2026-02-25
semena-zakaz.ru,Капуста белокочанная Экстра F1,,14,2026-02-25
ailita-shop.ru,"Капуста белокочанная Июньская 0,5г",5г,25,2026-02-25
semena-zakaz.ru,Капуста белокочанная Трансфер F1,,28,2026-02-25
semena-zakaz.ru,Капуста белокочанная Настя F1,,32,2026-02-25
Wildberries,Семена Капуста белокочанная Репорт F1,,131,2026-02-25
Сады России,Капуста белокочанная Боярыня F1,,89,2026-02-25
semena-zakaz.ru,Капуста белокочанная Подарок,,12,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Тиара F1, 10шт, Гавриш, Ведущие мировые производители, Bejo",10шт,99,2026-02-25
sibseed.ru,Капуста белокочанная Надежда,,24,2026-02-25
OZON,"Капуста белокочанная Авак, чешская селекция, универсальная, до 4.5кг",5кг,87,2026-02-25
Wildberries,"Семена Капуста белокочанная СБ-3 F1 0,1г",1г,137,2026-02-25
semenagavrish.ru,"Семена Капуста белокочанная Мегатон F1, 10шт, Гавриш, Ведущие мировые производители, Bejo",10шт,118,2026-02-25
Wildberries,"Семена Капуста белокочанная ""Июньская"" ранняя, 0,5 г",5 г,54,2026-02-25
Wildberries,Капуста Снегурочка F1,,208,2026-02-25
OZON,"Капуста белокочанная 2,5 кг",5 кг,280,2026-02-25
OZON,"Капуста белокочанная №1 Грибовский Сотка 0,5г раннесп. 0,9-2,2кг",1 г,67,2026-02-25
Wildberries,Семена Капуста белокочанная СБ-3 F1,,115,2026-02-25
ferma-kornevo.ru,Капуста квашеная 1 кг,1 кг,390,2026-02-25
Wildberries,Семена капусты белокочанной поздней и ранней,,103,2026-02-25
OZON,Капуста молодая 2 кг,2 кг,454,2026-02-25
Wildberries,"Семена Капуста белокочанная Нозоми F1, 10шт",10шт,101,2026-02-25
Wildberries,*Капуста Заря МС белокочанная,,122,2026-02-25
Мегамаркет,"Капуста белокочанная, молодая, 1-1,5 кг",5 кг,140,2026-02-25
OZON,Капуста белокочанная зимовка 1474  1 гр,1 г,72,2026-02-25
igooods.ru,Яблоки сезонные,,70,2026-02-25
Мегамаркет,Яблоки сезонные,,42,2026-02-25
Деликатеска,Яблоки сезонные красные ~1кг,1кг,130,2026-02-25
Впрок,Яблоки сезонные 1кг,1кг,129,2026-02-25
OZON,"Яблоки сезонные, садовые, с кислинкой, 400 г",400 г,55,2026-02-25
delicity.ru,"Яблоки Сезонные, 1 кг",1 кг,199,2026-02-25
fermanikolalenivets.ru,"Яблоки сезонные  0,5 кг",5 кг,150,2026-02-25
kuper.ru,Яблоки сезонные,,47,2026-02-25
edadomeda.ru,Яблоки сезонные,,350,2026-02-25
fruitsparadise.ru,Яблоки сезонные,,370,2026-02-25
Мясницкий Ряд,"Яблоки ""Сезонные""",,160,2026-02-25
Перекресток,Яблоки сезонные,,120,2026-02-25
Мегамаркет,Яблоки сезонные,,64,2026-02-25
Мегамаркет,Яблоки сезонные,,47,2026-02-25
coolclever.ru,Яблоки Синап Сады Нижегородской области 100 грамм,100 г,22,2026-02-25
Комус,Яблоки сезонные 1 кг,1 кг,199,2026-02-25
lavka.yandex.ru,Яблоки сезонные,,125,2026-02-25
svoe-rodnoe.ru,Яблоки сезонные,,150,2026-02-25
apeti.ru,Яблоки Антоновка,,191,2026-02-25
АШАН,"Яблоки сезонные, вес",,110,2026-02-25
Гипермаркет «Глобус» ИМ,"Яблоки сезонные, вес",,116,2026-02-25
Мегамаркет,"Яблоко сезонные, Metro Россия, 0.5кг",5кг,55,2026-02-25
Перекресток,Яблоки сезонные,,149,2026-02-25
ВкусВилл⁠Официальный магазин бренда «Вкусвилл». Права на товарный знак подтверждены в Яндекс Товарах.⁠,Яблоко садовое,,125,2026-02-25
Мегамаркет,"Яблоко сезонные, Молдова, 0.5кг",5кг,72,2026-02-25
kuper.ru,Яблоки сезонные,,53,2026-02-25
kuper.ru,Яблоки сезонные,,90,2026-02-25
Мегамаркет,Яблоки сезонные,,93,2026-02-25
Комус,Яблоки Голден сезонные 1 кг,1 кг,199,2026-02-25
coolclever.ru,Яблоки Антоновка Сады Нижегородской области 100 грамм,100 г,26,2026-02-25
kuper.ru,Яблоки сезонные ~500 г,500 г,63,2026-02-25
yarcheplus.ru,Яблоки свежий урожай,,120,2026-02-25
FruitOnline,"Яблоки Бреберн, 1 кг",1 кг,259,2026-02-25
Мегамаркет,Яблоки сезонные,,88,2026-02-25
Мегамаркет,Яблоки сезонные +-950 г,950 г,114,2026-02-25
kuper.ru,Яблоки сезонные,,88,2026-02-25
OZON,Яблоки Сезонные 2 кг,2 кг,989,2026-02-25
myspar.ru,Яблоки Крымские,,150,2026-02-25
5ka.ru,Яблоко сезонное,,110,2026-02-25
kuper.ru,Яблоки сезонные,,98,2026-02-25
OZON,Яблоки Сезонные 2 кг,2 кг,989,2026-02-25
myspar.ru,Яблоки Крымские,,150,2026-02-25
5ka.ru,Яблоко сезонное,,118,2026-02-25
kuper.ru,Яблоки сезонные,,98,2026-02-25
Деликатеска,Яблоки Малинка Россия ~750г,750г,269,2026-02-25
Доставка DIXY,Яблоки сезонные,,110,2026-02-25
Мегамаркет,Яблоки сезонные,,113,2026-02-25
kuper.ru,Яблоки сезонные красные ~1 кг,1 кг,130,2026-02-25
OZON,Яблоки сезонные 1 кг,1 кг,485,2026-02-25
OZON,Яблоки сезонные 1 кг,1 кг,518,2026-02-25
OZON,"Яблоки садовые, с кислинкой, 400 г, Сербия",400 г,75,2026-02-25
OZON,Яблоки сезонные 1 кг,1 кг,325,2026-02-25
svetofornadom.ru,"яблоки сезонные 65 , вес",,1,2026-02-25
svetofornadom.ru,"Яблоки сезонные 65, вес",,119,2026-02-25
svetofornadom.ru,"Яблоки сезонные, 1сорт, калибр 60, вес 1 кг Липецкая обл.",1 кг,89,2026-02-25
svetofornadom.ru,Яблоко красное сезонное 65 1 кг,1 кг,1,2026-02-25
svetofornadom.ru,"Яблоко сезонное, 1 кг  ПР 73",1 кг,1,2026-02-25
FruitOnline,"Яблоки сезонные, 1 кг",1 кг,240,2026-02-25
kuper.ru,Яблоки сезонные,,47,2026-02-25
OZON,Яблоки Сезонные. 3 кг.,3 кг,870,2026-02-25
kuper.ru,Яблоки сезонные,,70,2026-02-25
FruitOnline,"Яблоки Мантет, 1 кг",1 кг,134,2026-02-25
OZON,Яблоки сезонные,,475,2026-02-25
fruitsparadise.ru,Яблоки Богатырь,,450,2026-02-25
kuper.ru,Яблоки сезонные,,65,2026-02-25
OZON,Яблоко сезонная,,618,2026-02-25
Перекресток,Яблоки малинка,,240,2026-02-25
OZON,Яблоки Лебедянские 1 кг,1 кг,623,2026-02-25
OZON,Яблоки Лебедянские 1 кг,1 кг,679,2026-02-25
FruitOnline,"Яблоки мелкие желтые, сорта Китайка, 1 кг",1 кг,400,2026-02-25
kuper.ru,Яблоки сезонные,,65,2026-02-25
kuper.ru,Яблоки сезонные,,120,2026-02-25
АШАН,"Яблоки Ред Делишес новый урожай, вес",,150,2026-02-25
5ka.ru,Яблоки Голден,,160,2026-02-25
kuper.ru,Яблоки сезонные,,34,2026-02-25
